region,trial,m,m_from_filename,uncovered_area,overlap_percentage,ocr_success,filename,filepath
0,0,42,42,49.602773,4.97,True,m_42_trial_0.png,Results/region_0/trial_0/m_42_trial_0.png
0,0,43,43,44.067373,5.56,True,m_43_trial_0.png,Results/region_0/trial_0/m_43_trial_0.png
0,0,44,44,38.074852,5.9,True,m_44_trial_0.png,Results/region_0/trial_0/m_44_trial_0.png
0,0,45,45,32.958106,6.45,True,m_45_trial_0.png,Results/region_0/trial_0/m_45_trial_0.png
0,0,46,46,28.187317,7.1,True,m_46_trial_0.png,Results/region_0/trial_0/m_46_trial_0.png
0,0,47,47,24.569523,7.68,True,m_47_trial_0.png,Results/region_0/trial_0/m_47_trial_0.png
0,0,48,48,21.282061,8.55,True,m_48_trial_0.png,Results/region_0/trial_0/m_48_trial_0.png
0,0,49,49,18.064412,9.23,True,m_49_trial_0.png,Results/region_0/trial_0/m_49_trial_0.png
0,0,50,50,13.950952,9.72,True,m_50_trial_0.png,Results/region_0/trial_0/m_50_trial_0.png
0,0,51,51,11.406236,10.25,True,m_51_trial_0.png,Results/region_0/trial_0/m_51_trial_0.png
0,0,52,52,9.002817,10.75,True,m_52_trial_0.png,Results/region_0/trial_0/m_52_trial_0.png
0,0,53,53,7.51491,11.85,True,m_53_trial_0.png,Results/region_0/trial_0/m_53_trial_0.png
0,0,54,54,6.147813,12.71,True,m_54_trial_0.png,Results/region_0/trial_0/m_54_trial_0.png
0,0,55,55,5.040931,13.55,True,m_55_trial_0.png,Results/region_0/trial_0/m_55_trial_0.png
0,1,42,42,49.542544,5.06,True,m_42_trial_1.png,Results/region_0/trial_1/m_42_trial_1.png
0,1,43,43,44.270924,5.51,True,m_43_trial_1.png,Results/region_0/trial_1/m_43_trial_1.png
0,1,44,44,38.054379,5.96,True,m_44_trial_1.png,Results/region_0/trial_1/m_44_trial_1.png
0,1,45,45,32.887068,6.55,True,m_45_trial_1.png,Results/region_0/trial_1/m_45_trial_1.png
0,1,46,46,28.221972,7.06,True,m_46_trial_1.png,Results/region_0/trial_1/m_46_trial_1.png
0,1,47,47,25.293964,7.89,True,m_47_trial_1.png,Results/region_0/trial_1/m_47_trial_1.png
0,1,48,48,21.279221,8.55,True,m_48_trial_1.png,Results/region_0/trial_1/m_48_trial_1.png
0,1,49,49,18.534133,9.49,True,m_49_trial_1.png,Results/region_0/trial_1/m_49_trial_1.png
0,1,50,50,13.938106,9.77,True,m_50_trial_1.png,Results/region_0/trial_1/m_50_trial_1.png
0,1,51,51,11.391709,10.31,True,m_51_trial_1.png,Results/region_0/trial_1/m_51_trial_1.png
0,1,52,52,8.998978,10.81,True,m_52_trial_1.png,Results/region_0/trial_1/m_52_trial_1.png
0,1,53,53,7.522409,11.85,True,m_53_trial_1.png,Results/region_0/trial_1/m_53_trial_1.png
0,1,54,54,6.143548,12.66,True,m_54_trial_1.png,Results/region_0/trial_1/m_54_trial_1.png
0,1,55,55,4.750197,13.47,True,m_55_trial_1.png,Results/region_0/trial_1/m_55_trial_1.png
0,2,42,42,49.498963,4.79,True,m_42_trial_2.png,Results/region_0/trial_2/m_42_trial_2.png
0,2,43,43,43.426756,5.18,True,m_43_trial_2.png,Results/region_0/trial_2/m_43_trial_2.png
0,2,44,44,38.089513,5.96,True,m_44_trial_2.png,Results/region_0/trial_2/m_44_trial_2.png
0,2,45,45,32.975705,6.45,True,m_45_trial_2.png,Results/region_0/trial_2/m_45_trial_2.png
0,2,46,46,28.222836,7.05,True,m_46_trial_2.png,Results/region_0/trial_2/m_46_trial_2.png
0,2,47,47,24.59414,7.72,True,m_47_trial_2.png,Results/region_0/trial_2/m_47_trial_2.png
0,2,48,48,21.26031,8.55,True,m_48_trial_2.png,Results/region_0/trial_2/m_48_trial_2.png
0,2,49,49,18.032458,9.24,True,m_49_trial_2.png,Results/region_0/trial_2/m_49_trial_2.png
0,2,50,50,13.956524,9.73,True,m_50_trial_2.png,Results/region_0/trial_2/m_50_trial_2.png
0,2,51,51,11.402224,10.27,True,m_51_trial_2.png,Results/region_0/trial_2/m_51_trial_2.png
0,2,52,52,9.085558,10.76,True,m_52_trial_2.png,Results/region_0/trial_2/m_52_trial_2.png
0,2,53,53,7.461579,11.87,True,m_53_trial_2.png,Results/region_0/trial_2/m_53_trial_2.png
0,2,54,54,6.146214,12.63,True,m_54_trial_2.png,Results/region_0/trial_2/m_54_trial_2.png
0,2,55,55,4.448031,13.52,True,m_55_trial_2.png,Results/region_0/trial_2/m_55_trial_2.png
0,3,42,42,49.651472,5.01,True,m_42_trial_3.png,Results/region_0/trial_3/m_42_trial_3.png
0,3,43,43,44.202418,5.41,True,m_43_trial_3.png,Results/region_0/trial_3/m_43_trial_3.png
0,3,44,44,38.255564,5.84,True,m_44_trial_3.png,Results/region_0/trial_3/m_44_trial_3.png
