REGION 0 - SUCCESSFUL EXTRACTIONS (140 images):
Trial | M  | Uncovered Area | Overlap % | Filename
------------------------------------------------------------
    0 | 42 |     49.602773 |     4.97% | m_42_trial_0.png
    0 | 43 |     44.067373 |     5.56% | m_43_trial_0.png
    0 | 44 |     38.074852 |     5.90% | m_44_trial_0.png
    0 | 45 |     32.958106 |     6.45% | m_45_trial_0.png
    0 | 46 |     28.187317 |     7.10% | m_46_trial_0.png
    0 | 47 |     24.569523 |     7.68% | m_47_trial_0.png
    0 | 48 |     21.282061 |     8.55% | m_48_trial_0.png
    0 | 49 |     18.064412 |     9.23% | m_49_trial_0.png
    0 | 50 |     13.950952 |     9.72% | m_50_trial_0.png
    0 | 51 |     11.406236 |    10.25% | m_51_trial_0.png
    0 | 52 |      9.002817 |    10.75% | m_52_trial_0.png
    0 | 53 |      7.514910 |    11.85% | m_53_trial_0.png
    0 | 54 |      6.147813 |    12.71% | m_54_trial_0.png
    0 | 55 |      5.040931 |    13.55% | m_55_trial_0.png
    1 | 42 |     49.542544 |     5.06% | m_42_trial_1.png
    1 | 43 |     44.270924 |     5.51% | m_43_trial_1.png
    1 | 44 |     38.054379 |     5.96% | m_44_trial_1.png
    1 | 45 |     32.887068 |     6.55% | m_45_trial_1.png
    1 | 46 |     28.221972 |     7.06% | m_46_trial_1.png
    1 | 47 |     25.293964 |     7.89% | m_47_trial_1.png
    1 | 48 |     21.279221 |     8.55% | m_48_trial_1.png
    1 | 49 |     18.534133 |     9.49% | m_49_trial_1.png
    1 | 50 |     13.938106 |     9.77% | m_50_trial_1.png
    1 | 51 |     11.391709 |    10.31% | m_51_trial_1.png
    1 | 52 |      8.998978 |    10.81% | m_52_trial_1.png
    1 | 53 |      7.522409 |    11.85% | m_53_trial_1.png
    1 | 54 |      6.143548 |    12.66% | m_54_trial_1.png
    1 | 55 |      4.750197 |    13.47% | m_55_trial_1.png
    2 | 42 |     49.498963 |     4.79% | m_42_trial_2.png
    2 | 43 |     43.426756 |     5.18% | m_43_trial_2.png
    2 | 44 |     38.089513 |     5.96% | m_44_trial_2.png
    2 | 45 |     32.975705 |     6.45% | m_45_trial_2.png
    2 | 46 |     28.222836 |     7.05% | m_46_trial_2.png
    2 | 47 |     24.594140 |     7.72% | m_47_trial_2.png
    2 | 48 |     21.260310 |     8.55% | m_48_trial_2.png
    2 | 49 |     18.032458 |     9.24% | m_49_trial_2.png
    2 | 50 |     13.956524 |     9.73% | m_50_trial_2.png
    2 | 51 |     11.402224 |    10.27% | m_51_trial_2.png
    2 | 52 |      9.085558 |    10.76% | m_52_trial_2.png
    2 | 53 |      7.461579 |    11.87% | m_53_trial_2.png
    2 | 54 |      6.146214 |    12.63% | m_54_trial_2.png
    2 | 55 |      4.448031 |    13.52% | m_55_trial_2.png
